Unique ID,Gender,Total Working Experience in Total (Years),Total Working Experience in DE (Years),Current Job Title (or Student / Unemployed),Current Industry,"Educational Background (School - Degree, pls include graduate degrees)",Home Location (City),Work Location (City),What are your primary reason/s for joining the community?,"How can you contribute back to the community? E.g. chat moderator, event organizer, content creator","What activities/events/ learning formats do you prefer? e.g. webinars, articles, workshops, podcasts, github/code, f2f meetups, hackathons, etc.",What topics related to having a career in data and data engineering are you eager to explore?,What are the biggest challenges in having a career in data and data engineering for you?,What is your preferred frequency of engagement?,"Besides Facebook Group, do you have other preferred communication channels? e.g. email, Tiktok, Discord, etc.",What's your overall feedback and comments for the community?
017,Male,10,0,Manager,BPO,Associate Degree,Taguig,Taguig,"To Learn about being a DE, build the skillsets needed and hopefully to career shift.",Chat Moderator,Articles / Podcast / github,Python and SQL,Experience and Tech Stacks,Monthly,Discord,"Im just new, so i couldnt say much. But i'm hoping that this group would help me to reach my goal as DE"
018,Male,11,11,Engineering Manager - Data,FinTech,UPLB BS ComSci,Berlin,Berlin,Myk myk :),"Can do knowledge sharing, interview prep for outside PH",Online,Advanced Analytics,Data Engineering roles,"Monthly, Quarterly, Every 6 Months, Annual",Slack,Woohooo!
019,Male,IT related - 1 year 2 months,"Coding - 5 months (Spark Scala), High Level Data Architecture Documentation - 8 months",Associate Data Engineer,"Data Driven consulting, technology, and engineering",BS ECE,"Mariveles, Bataan","Ortigas, Pasig City",Get more knowledge on Data Engineering Environment. And have a network.,I don't know yet.,"Webinars and Workshops. My home is far from Metro Manila but can do f2f training related events. I prioritize training over meetups due to budget constraints on travelling and the time needed for it. If I want to work onsite (7-8am), I have to be on bus by 3am(max) from my hometown.","Platforms used for Data Engineering works. Currently I have a few experience on Apache Zeppelin, Apache Nifi, Apache Superset(Navigation only), MinIO (same like AWS S3), DBDiagrams.",Not enough network for now. Not yet understanding the ways and practice of being a DE. My company has a small Data Science team only.,Monthly,Discord,"Great admins and community (overall)! Very helpful and eager to share. I can say more engagement of some members will help too, including me. I don't comment as much as others, as I don't have knowledge yet."
020,Female,4.2,0,Currently unemployed but my previous job title is Advanced App Engineering Sr Analyst,IT,University of San Carlos - BS Computer Science,Cebu,None but previous is Cebu City,"- seeking guidance and advice from experienced professionals here since I am a fullstack dev planning to transition to DE field
- reading posts to be acquainted with the field
- knowing about the technologies being discussed (specifically when someone asks for technical guidance via post)
- job postings
- access to free trainings/learning materials provided by working DE professionals",- chat moderator,"- workshops
- articles
- github/code","- ETL
- data engineering on cloud with GCP, AWS, etc.","As a fullstack web dev the biggest challenge is finding a job opportunity that welcomes transitioning professionals since if not all, most of the job openings are looking for experienced ones.",Monthly,email,"I appreciate how members are eager and quick to respond to posts, offering them their professional knowledge and experience in the field. So far, the posts are directly related to the topic of the community and no ""pollution"" per say in terms of posts."
021,Male,0,0,Student,NA,Polytechnic University of the Philippines - BS Computer Engineering,Quezon City,NA,To learn more about Data Engineering field and to create connections that will surely help me and guide me in taking the data engineering career path.,Sharing my learning materials,"Webinars, Workshops, F2F meetups","Database Designing, Database Warehousing, ETL Development, SQL Server Development",Roadmap in DE,"Monthly, Quarterly, Every 6 Months","Email, Discord","The community is great. Many experts in the field of DE shares their knowledge and give opportunities to anyone who is starting to take this career path. I love how each member in the community interacts in the page. I love how the page is well-maintained by the admins. I am hoping that there will be an annual f2f event (talks, workshops, etc) for this community in the future."
022,Male,0,0,unemployed,n/a,University of Makati - B.S in Computer Science,Makati City,n/a,"Upon taking interest in Data science and analytics, i found a certain interest in this role more than the other Data related roles (Data scientist, Data analyst, etc.)",chat moderator,"webinars, workshop, podcast, github/code",Cloud computing,finding the field/business domain where i can apply what i learn and will continously learn in data engineering.,"Weekly, Monthly",linkedin,"I would describe it as super great, the members are very active in providing not only shareable contents but also insights and specific answers when anyone from our community is asking for help."
023,Male,9,2,Data Analyst / IT Specialist,Shared Services / Healthcare,BS Nursing,Olongapo City,Taguig City,Connect and learn best practices,Recruitment of non-members,Meetups,Cloud technologies,Data quality,Monthly,Discord,Great
024,Male,4,0,Data Scientist,Real Estate,Bachelor's Degree,Manila,Pasig,Seeking for Data Engineering role and learn new knowledge with relates to DE,share my knowledge and be actively join gatherings.,"hackathons, github/code, workshops",Big Data and Cloud Computing,"1. Maintaining the Data Pipeline. 
2. Data silos","Monthly, Quarterly, Annual",Discord,still exploring it
025,Male,7,0,Raw House Staff Engineer,Sugar Industry,University of the Philippines Visayas - BS in Chemical Engineering,Bacolod City,Talisay City,Career Shift,Chat Moderator,"Workshops, github/code, step by step tutorial (making pipeline)","Making pipelines, mastery in different software, practice cloud if possible,","As a career shifter and still currently learning, I am still wondering if what I have already studied is enough in landing a role in data science field. I studied at Coursera and Project Sparta.","Daily, Weekly","email, discord, messenger gc",Excellent. I am hoping to learn data engineering more in this group.
026,Male,7,2,BI Specialist,Real Estate,PUP - BSBA-MM,Paranaque,Pasay,Contribute to the community by doing learning sessions and making materials and content,Content creation and learning events,"F2F, podcasts would be nice too, articles, learning sessions, conferences",Cloud,Organizational barriers;,"Monthly, Quarterly",Discord,So far so good 😁
027,Male,2,0.5,Regional PMO,Telecommunications,University of Perpetual Help Sustem DALTA - Bachelor of Science in Electronics Engineering,Las Piñas City,"Bonifacio Global City, Taguig City",To have an actual support locally,Answering questions,Workshops,ETL,ELT,"Daily, Weekly, Monthly",None,Very Good
028,Male,1,0,Pythonn Developer,Software Development,Bachelor's Degree - BS Agriculture,Marilao,"Calumpit, Bulacan",To learn more about data engineering,"Chat moderator, community moderator","F2f meetups, workshops","ELT, creating real world data pipelines",Learn about the modern data stack,Daily,"Discord, Email",It is awesome and very informative
029,Female,2 years,0,Associate Software Engineer,IT Industry,Rizal Technological University,Taytay,BGC Taguig,My 1st Dream job,Chatsle,Self spaced learning,"ETL , Azure Cloud","Python, need more real word experienced",Daily,Nothing,So far is informative
030,Male,16,14,IT Specialist,International Development,DLSU BSCS-ST,Quezon City,Quezon City,See trends and new insights on DE practice,Contributor,Webinars,"All topics, always trying to learn new things",So little time,"Weekly, Monthly, Quarterly",None,Excellent engagement so far
031,Male,3,0,Data entry technician,Bpo,Bs in computer engineering,Cabanatuan,Cabanatuan,To be involve regarding data engeering,Chat moderator or event content creator,Webinars,Data analytics,Refocus scam,Daily,Email,Still new here
032,Male,5,2,Analytics Engineer,Product/software,PLM - BS ECE,Manila,Remote WFH,Contribute,"Content creator, chat mod","F2f, articles, webinars","Data pipelines, data modeling, cloud","Data quality issues, soft skills, cloud usage","Monthly, Quarterly","Discord, email",Lets try to create something similar to zoomcamp but both cloud and onprem
033,Male,10,5,Full Stack Data Scientist Lead,Shipping,Masters Computer Science (Thesis to be completed),Paranaque City,Makati City,"To meet like minded people, mentor, and learn.","Mentoring, social impact projects(?)","One on Ones with people, just mingling and picking people's brains.","Building teams, roadmap for data people, AI/ML general tech stuff. Advancements in ML tools.",Finding right candidates.,Monthly,None,Overall great job.
034,Female,1,0,Data Analyst,IT Consulting,University of Santo Tomas - BS in Chemical Engineering,Las Piñas City,Pasig City,To learn more about DE,Attending webinars and other engagements,"Webinars, workshops","Data Modelling, Big Data Processing",The availability of the tools needed,Monthly,Email,"The engagement is high in this group, and a lot of people are contributing their knowledge actively."
035,Female,11,7,Data engineer,Tech,"Graduate- business, accounting","San Diego, ca",Remote,Talk with like minded individuals and stay close to the market in Philippines,Content,"Articles, podcasrs","AI in practice, international teams and projects",The changing preferences of companies for software and languages.,Monthly,Discord,Keep up the good work
036,male,20,0,unemployed,unemployed,UP Los Banos BS Computer Science,"Bay, Laguna",unemployed,Access to resources re Data Engineering/Data Analysis,am not sure,any and all,hands on workshops esp. regarding Big Data,getting work experience,Daily,no,TBD
037,Female,0,0,Unemployed,,TUP Manila - BS COMPUTER SCIENCE,Quezon,,like doing data stuff and have dabbled around data analytics,i could be a volunteer. moderator anything,"workshop, mentorship",daa,none yet,"Weekly, Monthly",email,great so far. its active
038,Female,0,0,Unemployed,,TUP Manila - BS COMPUTER SCIENCE,Quezon,,like doing data stuff and have dabbled around data analytics,i could be a volunteer. moderator anything,"workshop, mentorship",daa,none yet,"Weekly, Monthly",email,great so far. its active
039,Female,4,0,Unemployed,Education,Bachelor of Secondary Education Major in MAPEH - BATANGAS STATE UNIVERSITY MAIN CAMPUS 1,Calatagan,N/A,I have been self-studying data analytics and is lucky to complete 2 courses from DataSense Analytics. I also would like to gain information from experienced people in the group,Chat moderator,workshop,Business Intelligence and Statistics,to manipulate the formulas since I am a career shifter,Daily,email and discord,"informative ✅
polite members ✅
approachable experienced DEs ✅
humble people ✅
"
040,Male,10+ years,5+ years,Data Engineer,IT,BISCAST - INDUSTRIAL,Naga,Makati,To learn more about DE and exchange insights with fellow DE members.,I can help and assist during events :),Workshops aimed at creating real-world projects help alot with learning.,DS was my goal ever since I decided to shift from manufacturing industry to IT. But I think I fell in love with DE along the way. I'd still want t o learn DS stuff along with DE as my majn focus.,Fast paced advancement of the tech industry. Every now and then new stuff comes up and keeping up with new tools and technical knowledge(how to actually implement them) will is and will always be a welcome challenge.,Weekly,Discord is a great alternative.,Nothing much for now. Keep it up. Been looking forward for so long to be part of a DE group where I can learn and share information. :)
041,Male,13,13,VP Data Engineering and R&D,FMIC,BS Computer Eng'g,QC,Taguig,Community support / discussion for new tech and trends,Contributor,"Webinars, f2f meetups",Data Ops. Data engineering environments.,"Local setting - culture,
Propensity for investment",Monthly,"Discord, wiki like sites",Engaging
042,Female,13 years,3 years,Data Framework Lead,Data Engineering,Bulacan State University - BS ECE,Parañaque,Makati,"Networking, share ideas, expose to more new concepts.",Chat,"Workshops, f2f, podcasts","Hybrid cloud landscape, ci/cd - gitOps approach, kafka streaming, chatgpt or gpt4 usage, data modelling","1) transition from traditional etl developer to data engineering (skillset recalibration)

2) Get support from business users to push forward to cloud modernization. 

3) making a future proof framework/solutions

4) data security risk and management","Monthly, Quarterly",viber,"I'm just new to the community, overall I like what I'm seeing from exchanges of ideas and answering inquiries with relevance and substance."
043,F,8 yrs,0,Technical Recruitment Specialist,Staffing Agency,Bachelor Degree,Cavite,Remote,Interested to upskill,Anything,All,"Coding, Data Analytics, SQL, Phyton, PowerBi",Learning from scratch,Daily,None,Very helpful
044,Female,3,0,"Data Scientist, Full-time Graduate Student",Artificial Intelligence,"BS Applied Physics, MEng Artificial Intelligence",Navotas,Quezon,To get a holistic view of the pipeline/process,Event Organizer,"Github/Code, Workshops, Articles, F2F Meetups","ETL, Cloud",Too many things to learn and to understand that it can be overwhelming. Development of the field is fast so it is hard to keep up.,Daily,"Discord, Email, FB Group Chat",Everyone is open and very supportive to diverse backgrounds.
045,Male,None,None,Unemployed,Healthcare,STI College - BS in Computer Engineering,Calbayog,"Denver, Colorado",To learn more,Chat moderator,Webinar,Everything,Getting a Job,Weekly,Yes discord,Everyone should participate
046,Male,1 year,0,Lecturer,Academic,Bachelor of Science in Computer Science,Tanauan City,Malvar Batangas,To enter tech industry,Moderator,"Webinars, workshops",Data storage and data pipelines,None so far,Weekly,None,None
047,Lalaki,0,0,Student,-,Computer Engineering,Valenzuela,-,I want to learn more about the field,Not sure atm,"Books, f2f meetups, and hackathons",System Design,I think it's finding learning resources since it's still a growing field that is changing rapidly,Weekly,Email,The people are really eager with sharing their expertise
048,Male,9 months,0,Unemployed,NA,BS ECE,NA,NA,I was looking for a community that has the same goal which is to learn DE,Dont have idea right now,"I hope the seniors of this group can create a self paced free bootcamp just like what they did at DataTalksClub Data engineering zoomcamp.

The course can include the very basics like data extraction, data cleaning/ preparation, and loading data in the a cloud db or in a local db for simplicity.

Lastly I think it would be best if seniors can teach more on data modelling using pandas.

Ive seen tutorials on youtube using nyc taxi data, in which they uploaded the entire dataset as one table. The other tutorial used fact table and dimension table modelling and Im confused whether what to use best.
****Link of tutorial: https://youtu.be/WpQECq5Hx9g?si=KYvS260CUg7jJdnm
****Link of repo for the tutorial:
https://github.com/darshilparmar/uber-etl-pipeline-data-engineering-project

I hope seniors here can do something like this in the future 💙.",Id like to stick with Data engineering,It might be finding the right resources for learning. Data engineering is really complex for a beginner like me.,Mon-Wed-Fri,NA,Happy to see that there are a lot of DEs here in the Philippines 🎉🎉🎉🎉🎉
049,Male,0,0,College Student,I.T.,NA,Quezon City,NA,To gain more knowledge about the field and gather advice from actual data engineers in the country.,Group moderation to help filter out spam comments.,"Webinars, f2f meetups",Python programming and usage of SQL,NA,Weekly,email and discord,It looks very promising as I see actual healthy discussions and the page is not cluttered with repetitive posts/questions. I wish we can develop something like a FAQ page or a pinned post that can be read by members for proper guidance.
050,Male,N/A,N/A,Student,N/A,Earist Cavite Campus - BS Computer Science (3rd year),"San pedro, Laguna",N/A,I want to pursue data engineering as my career.,I will share every DE knowledge that i will gain once i become DE,"Webinars, podcasts, code.",N/A,N/A,Weekly,Discord and Telegram,I love how community and its members giving the most insightful and accurate in every questions of the other members.
051,Male,12,0.25,Senior Structural Engineer,Design & Construction,BS Civil Engineer,Caloocan,Quezon City,Shift to DE,content creator maybe. sharing what i learned from studying data engineering.,"f2f meetups, workshops, webinars, actually anything that helps me grow in this field.",step by step skills preparation and how to land a job as a data engineer,"i'm enrolled at datacamp to study some courses in data engineering but they're just giving you familiarization in terms of data engineering. so i'm also exploring other workshops aside from studying the basics and joining hackerrank or leetcode, etc. i know I will need more time to study before i can make a portfolio.","if possible daily, but since i'm also busy at my current work, every other day and more on weekends.","preferably Facebook and Messenger since its a necessity nowadays, your family is also using it. Discord maybe but i could find ways to ignore the messages. 😅",Sharing is caring.
052,Male,17,3,Data Engineer/Data Science,Software Services,Bachelor of Science in Computer Science,Batangas,Quezon City,"Learnings, Connections",chat moderator,"webinars, workshops, github, hackathons",data management,too many stacks,"Weekly, Monthly",discord,na
053,Female,13,0,Recruitment,Recruitment,BSBA Entrepreneurial Management,Kawit,New York,"I am interested with Data Analytics, Data Engineering and Cyber security",Moderator/event organizer,"Webinars, hackathons, etc",Na,Na,"Daily, Weekly, Every 6 Months,","Email, disord",Good to know information for Data Engineering enthusiasts.
054,Female,6,0,Data scientist,Microfinance,Mapua - BS electronics engineering,Cavite,Ortigas,Knowledge sharing about data engineering na,Content creator,"webinars, articles, workshops, podcasts, github/code",Data engineering,Coding,"Every 6 Months, Annual",Viber,Very cool
055,Male,4 and counting,2 years and counting,Data Engineer,Tech,BS-IT,Mandaluyong,WFH,Learn more about Data Engineering,Idk but will answer some questions,"Code, Webinars, Workshops, Meetups",Using BIG Data Tools and ETL tools,"probably learning a lot of applications in processing big data, but it’s also fun because you get to used these new technologies.",Monthly,"Discord, Group chats",Let’s keep on learning.
056,Male,7,0,Data Science Officer,IT,BS Chemical Engineering,"Los Baños, Laguna",Mandaluyong City,I want to learn DE and add value as well,content creator,"anything but special emphasis on hackathons, meetups, workshops and podcast",Analytics Engineering,Learning the abstract principles,Weekly,Email,None at the moment
057,Male,0,0,Student,None,National University (Manila) - BS Computer Science specialization in Machine Learning,Caloocan city,none,To know and to learn more about data engineering,Usher,"Webinars, Workshops, f2f meetups, hackathons","Machine Learning process in Data Engineering, Stuffs about data engineering","Data Engineering field is not more exposed in the society comparing it to the software, web dev field. Thanks for establishing this group.",Monthly,Discord,Keep it up! Hope to contribute in this group page in the future.
058,Female,8,6,Data Engineer,Cloud Telco,STI College San Pablo - BS Computer Engineering,San Pablo City,Ortigas,To learn and collaborate with my fellow DE,Chat moderator,"Workshops, github and hackathons","Empowering businesses through data and analytics, How to become an effective Data Engineer, Why Data Engineers are important, Related topics about ""Data is the new oil"", Apache discussion, Databricks, Snowflake","There's a lot a of tools since I jumped from company to company they have their own set of Big Data tools. But on the other hand, it's quite good if you are aiming to be a jack of all trades. But right now, I want to master the Apache ecosystem if I'll have the opportunity.",Monthly,TikTok,Needs more engagement specifically to its members. Look at the R Group hehe
059,male,0,0,Customer Service Representative,BPO,undergraduate,Pasig City,Pasig City,"to be updated in the industry and to build a connection, I hope there will be a meetup here","I don't know, I think I might share some resources or I can be an event organizer even though I don't know anything about organizing an event.","workshops, github/code, meetups","For now, I'm currently learning machine learning for data science",I can't understand/ makes sense what I'm learning,"Weekly, Monthly",I'm mostly active in my gmail,I hope this group will be a great group for me to enhance my skills and form connections even though I'm extremely introverted.
060,Female,16,0,Economist II,City Trade and Industry,Mapua Institute of Technology - BS ECE,Calapan City,Calapan City,To learn,IT,"F2F, Meetups,workshops",programming,the learning path,Monthly,yes,nice
